company,location,website,services,serves_uk,source,notes
Magellan Solutions,Manila,https://www.magellan-solutions.com,Inbound & outbound B2C/B2B telemarketing,yes,public website,ISO-certified; 18+ years; 16 industries
Digital Minds BPO,Naga City,https://digitalmindsbpo.com,B2B/B2C telemarketing; cold calling; lead gen,yes,public website,Founded 2010; US/UK/AU clients
Executive Boutique (EB Call Center),Cebu,https://www.bposeats.com,Outbound B2C cold calling; surveys; sales,yes,public directory,Serves N. America/UK/Australia
SuperStaff,Manila / Clark,https://superstaff.com,Telemarketing for Western brands,yes,public website,Outbound + back office
OBI Services,Philippines,https://obi.services,Outbound sales & telemarketing outsourcing,unknown,public website,Sales outsourcing focus
GigaBPO,Philippines,https://gigabpo.com,Outbound telemarketing campaigns,unknown,public website,Also publishes BPO directories
HitRate Solutions,Philippines,https://hitratesolutions.com,Inbound/outbound campaign outsourcing,unknown,public website,SME-focused
Penbrothers,Manila,https://penbrothers.com,Outsourced staffing & customer ops,unknown,public website,Staff-leasing model
PITON-Global,Metro Manila,https://www.piton-global.com,Customer/technical support; outbound,yes,public website,Founded 2001; US/CA/UK/AU clients
Fusion CX,"Manila, Cebu, Silang, Legazpi",https://www.fusioncx.com,Full-service BPO; voice & non-voice,yes,public website,Multiple PH delivery sites
Logix BPO,Cebu,https://logixbpo.com,Inbound & outbound at scale,yes,public website,Global clients
Callhounds Global,Philippines,https://callhounds.com,Inbound & outbound call center,yes,public website,20+ yrs; US/CA/UK/AU/NZ clients
